"Timestamp","If you would like to continue , please confirm the agreement and check the box below. [I hereby agree to provide honest, precise and complete information to the survey.]","Gender ","Completed age","Your current address (district only)"," Education ","Your occupation.","How long have you been using mobile payment service of the Company?","Do you agree or disagree with the following statements. [Generally I've a positive view in technology.]","Do you agree or disagree with the following statements. [I'm a technology friendly.]","Do you agree or disagree with the following statements. [When using technology, I often feel overwhelmed.]","Do you agree or disagree with the following statements. [I don't trust technology]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Mobile payment services are Easy to use.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Requires fewer step to accomplish the transaction.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Easy and quick recovery from mistake.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease to integrate with bank accounts.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease of personal details verification.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Cost of using Mobile Payment services is reasonable.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Feeling superiority of using services.]","Please check the box based on your experience on value investment in mobile payment service of the company. [The use of Mobile payment service is a good deal.]","Please check the box on your experience on customer support part. [Customer support in resolving your issues is good.]","Please check the box on your experience on customer support part. [Customer support team answer your inquiry promptly.]","Please check the box on your experience on customer support part. [Customer service agents are polite.]","Please check the box on your experience on customer support part. [Customer service opening hour is convenient.]","Please check the box on your experience on customer support part. [Customer service agents are friendly]","Please check the box on your experience on security part. [Wallet payment is fully secure.]","Please check the box on your experience on security part. [Confidence on transaction is high and identical to the cash transaction.]","Please check the box on your experience on security part. [Statement provided by the company is thorough and accurate.]","Please check the box on your experience on security part. [Mobile payment service is fully reliable.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a dynamic company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a creative company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is an innovative company.]","Please check the box based on your experience towards the speed. [Fund transfer time is very quick.]","Please check the box based on your experience towards the speed. [Initial log in period is much quicker.]","Please check the box based on your experience towards the speed. [Fund loading from the bank takes very low time. ]","How likely are you to  [Use mobile payment service with us again.]","How likely are you to  [Recommend our payment service to others.]","How likely are you to  [Recommend our company to others.]","How likely are you to  [Favour in the future.]","After the use of mobile payment services of F1 Soft  [I learned a lot from using mobile payment service of the F1 Soft.]","After the use of mobile payment services of F1 Soft  [Makes me feel good]","After the use of mobile payment services of F1 Soft  [Makes me feel enthusiastic.]","After the use of mobile payment services of F1 Soft  [I consider myself as a member of users of F1 Soft service.]","Use of mobile payment service of F1 Soft is fully satisfying.","On a scale of 1 to 100 please rate your overall level of satisfaction on using mobile payment service of the company."
"2022/04/21 10:35:58 AM GMT+5:45","agree","male","34","Kathmandu","Masters and above","Service","45 month","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Agree","Strongly Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Somewhat likely","Somewhat likely","Somewhat likely","Agree","Agree","Neutral","Agree","Yes","60"
"2022/04/21 12:43:13 PM GMT+5:45","agree","male","34","Kathmandu","Masters and above","Service","60","Neutral","Strongly disagree","Strongly disagree","Strongly disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Strongly Disagree","Agree","Agree","Agree","Very unlikely","Unlikely","Somewhat likely","Unlikely","Strongly disagree","Disagree","Strongly disagree","Disagree","Yes","100"
"2022/04/21 10:08:21 PM GMT+5:45","agree","male","37","Kathmandu","Masters and above","Service","2 years more","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Strongly Agree","Very likely","Very likely","Very likely","Very likely","Agree","Agree","Agree","Neutral","Yes","85"
"2022/04/23 7:27:11 PM GMT+5:45","agree","male","20","Mahottari","Plus 2 / Intermediate","Student","Less than 3 months","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Disagree","Disagree","Very likely","Somewhat likely","Very likely","Somewhat likely","Strongly disagree","Disagree","Disagree","Strongly disagree","No","50"
"2022/04/23 7:27:39 PM GMT+5:45","agree","male","20","Bhaktapur","Plus 2 / Intermediate","Student","Less than 3 months","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Very likely","Somewhat likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Disagree","Neutral","No","50"
"2022/04/23 7:29:52 PM GMT+5:45","agree","male","18","Kathmandu","Bachelor","Student","2 years more","Strongly disagree","Strongly disagree","Neutral","Somewhat disagree","Strongly Agree","Agree","Disagree","Agree","Strongly Agree","Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Disagree","Agree","Neutral","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Very likely","Very likely","Likely","Very likely","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Yes","90"
"2022/04/23 7:35:17 PM GMT+5:45","agree","Female","18","Kathmandu","Bachelor","Student","Less than 3 months","Neutral","Somewhat agree","Somewhat agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Strongly Agree","Agree","Likely","Very likely","Very likely","Very likely","Neutral","Neutral","Neutral","Neutral","Yes","89"
"2022/04/23 7:40:15 PM GMT+5:45","agree","male","28","Kathmandu","Masters and above","Other","2 years more","Somewhat agree","Neutral","Neutral","Strongly disagree","Agree","Agree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Neutral","Agree","Disagree","Disagree","Agree","Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Likely","Somewhat likely","Likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","No","70"
"2022/04/23 7:40:32 PM GMT+5:45","agree","Female","17","Bhaktapur","Bachelor","Student","13 months to 2 years","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Likely","Somewhat likely","Likely","Very likely","Neutral","Agree","Neutral","Agree","Yes","75.5"
"2022/04/23 7:41:18 PM GMT+5:45","agree","male","22","Kathmandu","Bachelor","Student","2 years more","Neutral","Neutral","Strongly disagree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Likely","Very likely","Likely","Very likely","Agree","Agree","Neutral","Agree","Yes","95"
